title,company,reward,link
Java 주니어 개발자 (Back-end),유핀테크허브(유트랜스퍼),합격보상금 100만원,https://www.wanted.co.kr/wd/165762
웹개발자 (JAVA 개발자),제로더,합격보상금 100만원,https://www.wanted.co.kr/wd/218588
자바 개발자,이도(Yido),합격보상금 100만원,https://www.wanted.co.kr/wd/214913
시니어 백엔드 엔지니어 (Java),바잉스퀘어,합격보상금 100만원,https://www.wanted.co.kr/wd/167599
SI/공공 웹 솔루션 JAVA 개발자(3~6년),엑셈,합격보상금 100만원,https://www.wanted.co.kr/wd/217226
[Tech] 글로벌 해외송금 백엔드 개발자 (Java/Kotlin),센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/199109
Software Engineer - Java,야놀자Tech(R&D),합격보상금 100만원,https://www.wanted.co.kr/wd/202371
Java 서버 개발(미드-레벨),그립컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/53925
Java/Kotlin 백엔드 서버 엔지니어,티비유,합격보상금 100만원,https://www.wanted.co.kr/wd/118264
Java 백엔드 개발자 (5년 이상),라텔앤드파트너즈,합격보상금 100만원,https://www.wanted.co.kr/wd/215027
JAVA 기반 자사 솔루션 개발/운영(렌탈),웅진,합격보상금 100만원,https://www.wanted.co.kr/wd/152962
Java 백엔드 개발,지엘엔인터내셔널,합격보상금 100만원,https://www.wanted.co.kr/wd/217487
주니어 백엔드 엔지니어 (JAVA),스탠바이랩,합격보상금 100만원,https://www.wanted.co.kr/wd/218781
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/196645
Java 백엔드 개발자 (판교),오렌지아이,합격보상금 100만원,https://www.wanted.co.kr/wd/218344
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
자바 백엔드 엔지니어,띵스플로우,합격보상금 100만원,https://www.wanted.co.kr/wd/201814
[인텔리전스랩스] 추천팀 백엔드 개발자 (Java/Kotlin),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr/wd/209654
UIX 개발자 / Javascript,피앤디솔루션,합격보상금 100만원,https://www.wanted.co.kr/wd/210805
[인텔리전스랩스] 빌링 서비스 백엔드 개발자 (Java/C#),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr/wd/207248
Java 백엔드 개발(10년 이상),티웨이브,합격보상금 100만원,https://www.wanted.co.kr/wd/112793
Java/Kotlin Backend Engineer (상품전시개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr/wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr/wd/188378
[인텔리전스랩스] 글로벌 플랫폼 백엔드 개발자 (Java),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr/wd/106979
